0,地址,名称,维度,经度,类型
302,,姜家圩(公交站),32.077325229454566,118.7367335739453,公交站
303,,红山站(公交站),32.099059991417214,118.79584535748847,公交站
304,,四平路广场南(公交站),32.094211852333316,118.74973842946021,公交站
305,,江东北路·龙园北路(公交站),32.06298685368434,118.73465283972783,公交站
306,,南医大二附院总站(公交站),32.08363886761409,118.73937906764614,公交站
307,,孙家洼路(公交站),32.102514268030525,118.77072343619514,公交站
308,,汉江路(公交站),32.052337440151,118.73775749484747,公交站
309,,长江大酒店(公交站),32.09573451993869,118.75144763164289,公交站
310,,郭家山路东(公交站),32.10298872243841,118.77602439892568,公交站
311,,省妇幼保健院(公交站),32.061110404224536,118.734743968451,公交站
312,,白下路(公交站),32.030729286538445,118.78449569475116,公交站
313,,后宰门南(公交站),32.04652360223218,118.813089175495,公交站
314,,鼎新路(公交站),32.0303264454425,118.77273826329322,公交站
315,,张王庙(公交站),32.10312506678584,118.77445049532432,公交站
316,,江东北路·定淮门大街(公交站),32.066177816720796,118.73401187083253,公交站
317,,清凉门大街(公交站),32.050203775584556,118.73845944941588,公交站
318,,农贸中心(公交站),32.075753421812074,118.73520838878878,公交站
319,,四平路(公交站),32.096653904851735,118.75221774269698,公交站
320,,嫩江路(公交站),32.044529786441544,118.74245700137831,公交站
321,,挹江门(公交站),32.08859143490171,118.74231494402132,公交站
322,,江东北路·草场门大街(公交站),32.05834377155094,118.73479819794711,公交站
323,,后宰门东(公交站),32.047281355166554,118.81448803307886,公交站
324,,莫愁湖(公交站),32.03378779745713,118.75687929434649,公交站
325,,莫愁湖公园南门(公交站),32.03381375654898,118.75677224169372,公交站
326,,中山南路·升州路(公交站),32.02940504282733,118.7781388667369,公交站
327,,莫愁湖西路(公交站),32.036395552446116,118.75145312556504,公交站
328,,长白街北(公交站),32.03088147111237,118.78959275850805,公交站
329,,水西门(公交站),32.03014289036102,118.7677742412909,公交站
330,,公园路(公交站),32.034399711830865,118.79941391419507,公交站
331,,内桥南(公交站),32.02938894874651,118.78057614339924,公交站
332,,钟麓花园(公交站),32.075714216745176,118.82016543409284,公交站
333,,江东北路·三汊河(公交站),32.07033312575705,118.7330959832595,公交站
334,,幕府南路北(公交站),32.102540015238446,118.76428558220461,公交站
335,,明故宫西(公交站),32.04166844579711,118.8103218810772,公交站
336,,四象桥(公交站),32.02969313201947,118.78529801096761,公交站
337,,汉中门大街·嫩江路(公交站),32.04070278333728,118.74500510060174,公交站
338,,干休所(公交站),32.10428439904727,118.77729186609736,公交站
339,,瑞金北村(公交站),32.037435391242795,118.80523795744372,公交站
340,,大桥饭店(公交站),32.09460461609401,118.74717411751949,公交站
341,,十字街(公交站),32.09718129449989,118.8040170533555,公交站
342,,北圩路(公交站),32.03792427154746,118.7476683957869,公交站
343,,南医大二附院(公交站),32.08268650111771,118.73635923219446,公交站
344,,长途东站南京旅游集散中心(公交站),32.08560417153828,118.81633441174847,公交站
345,,姜家园(公交站),32.0871956638987,118.73919579204862,公交站
346,,凤台路·水西门(公交站),32.02994212204765,118.7642162403158,公交站
347,,江东北路·闽江路(公交站),32.054769215308774,118.73421082366235,公交站
348,,赏心亭(公交站),32.02991511589717,118.76421624281109,公交站
349,,舸舫西园(公交站),32.06684195777773,118.73185403794392,公交站
350,,长途东站(公交站),32.08515538742213,118.8170379389253,公交站
351,,白云亭(公交站),32.079386539657975,118.7343534713034,公交站
352,,青年路(公交站),32.0912857086303,118.81219020356903,公交站
353,,龙江地铁站西(公交站),32.05987814562942,118.73242633739594,公交站
354,,晓街(公交站),32.09805387695031,118.75089729224833,公交站
355,,大庙村(公交站),32.10204476307687,118.75916316757194,公交站
356,,白下路·长白街(公交站),32.02968418896485,118.79026498873512,公交站
357,,凤凰花园城(公交站),32.046208863096844,118.73852879623821,公交站
358,,兴中门(公交站),32.093818382911266,118.74461120314398,公交站
359,,长虹路北(公交站),32.0301304671635,118.76163535301234,公交站
360,,北崮山(公交站),32.10519453372591,118.78222748522852,公交站
361,,中心南村(公交站),32.04849492282267,118.73662928567369,公交站
362,,北崮山西(公交站),32.10550867502817,118.77731478216354,公交站
363,,花园路南(公交站),32.07915300463894,118.82072330554188,公交站
364,,凤凰三村(公交站),32.042866643369344,118.74075548395379,公交站
365,,水西门大街·大士茶亭(公交站),32.035421961939335,118.74962885387401,公交站
366,,花园路·南林东路(公交站),32.08195848275054,118.81959164403447,公交站
367,,明故宫(公交站),32.04244530383066,118.813425250299,公交站
368,,玄武大道·长途东站(公交站),32.08752352223899,118.81630417220128,公交站
369,,菱角市(公交站),32.02839893365445,118.76708778044134,公交站
370,,宝船遗址公园(公交站),32.06463391541756,118.73099978351125,公交站
371,,北崮山东(公交站),32.10483172229836,118.7876147236811,公交站
372,,中华路三山街(公交站),32.02747294271344,118.78011067896202,公交站
373,,评事街(公交站),32.0273812932075,118.7732581164277,公交站
374,,中华路·三山街(公交站),32.0273128502182,118.78006463069461,公交站
375,,海德卫城(公交站),32.06605339461886,118.7306878573996,公交站
376,,中保村(公交站),32.06082902901381,118.73109207575948,公交站
377,,水西门大街大士茶亭(公交站),32.035650809630894,118.74817964893028,公交站
378,,戎军路南(公交站),32.10546972379227,118.76829476390598,公交站
379,,瑞金路西(公交站),32.03425551717484,118.80400780893515,公交站
380,,翠亭路(公交站),32.10527733207899,118.76663727657952,公交站
381,,水关桥东(公交站),32.10187108095983,118.75556040868831,公交站
382,,白下路·大中桥(公交站),32.02911565775956,118.79265011167774,公交站
383,,琵琶湖(公交站),32.05644560836714,118.82262241974983,公交站
384,,太平南路·夫子庙(公交站),32.02716239203567,118.78443493131758,公交站
385,,清溪路北(公交站),32.04636738219459,118.81783717726789,公交站
386,,白云亭西(公交站),32.080104399385235,118.73274427872909,公交站
387,,新河二村(公交站),32.069826566653475,118.73006193241635,公交站
388,,热河南路(公交站),32.087741383170375,118.73695352064438,公交站
389,,中保村南(公交站),32.05765134639107,118.73105439429736,公交站
390,,漓江路(公交站),32.05414005120173,118.73206108715058,公交站
391,,水关桥总站(公交站),32.10143921383121,118.7533316286336,公交站
392,,金燕路南(公交站),32.10286355858595,118.7562396090677,公交站
393,,水关桥(公交站),32.10142412988761,118.75306454614189,公交站
394,,纪念馆(公交站),32.038798481589325,118.74257951278581,公交站
395,,江东北路·清凉门大街(公交站),32.049732249284105,118.73383748489626,公交站
396,,康怡花园(公交站),32.04093528313604,118.74032876494226,公交站
397,,长白街(公交站),32.02736252278635,118.78880578634075,公交站
398,,明故宫东(公交站),32.04139817324413,118.81456473198175,公交站
399,,依维柯(公交站),32.09409373253252,118.8124274398072,公交站
400,,明故宫南(公交站),32.0398611724978,118.81312786566976,公交站
401,,板仓街·花园路(公交站),32.07763464881392,118.82336907275214,公交站
402,,五佰村路(公交站),32.107239314527966,118.7757716963896,公交站
403,,东井村(公交站),32.10245854249647,118.80001880984483,公交站
404,,仙鹤桥(公交站),32.02624948666153,118.7706163702802,公交站
405,,郑和南路(公交站),32.07313952330306,118.72964991399134,公交站
406,,茶亭东街(公交站),32.03673790391894,118.74421951549542,公交站
