地址,名称,维度,经度,类型
,长途东站(公交站),32.083031,118.822174,公交站
,白云亭(公交站),32.077343,118.739578,公交站
,青年路(公交站),32.089169,118.817337,公交站
,龙江地铁站西(公交站),32.057838,118.737648,公交站
,晓街(公交站),32.096008,118.756126,公交站
,大庙村(公交站),32.099995,118.764389,公交站
,白下路·长白街(公交站),32.027618,118.795448,公交站
,凤凰花园城(公交站),32.044174,118.743752,公交站
,兴中门(公交站),32.091774,118.749840,公交站
,长虹路北(公交站),32.028095,118.766853,公交站
,北崮山(公交站),32.103123,118.787430,公交站
,中心南村(公交站),32.046459,118.741852,公交站
,北崮山西(公交站),32.103443,118.782524,公交站
,花园路南(公交站),32.077023,118.825851,公交站
,凤凰三村(公交站),32.040833,118.745979,公交站
,水西门大街·大士茶亭(公交站),32.033390,118.754852,公交站
,花园路·南林东路(公交站),32.079830,118.824722,公交站
,明故宫(公交站),32.040337,118.818565,公交站
,玄武大道·长途东站(公交站),32.085400,118.821442,公交站
,菱角市(公交站),32.026360,118.772301,公交站
,宝船遗址公园(公交站),32.062592,118.736221,公交站
,北崮山东(公交站),32.102753,118.792809,公交站
,中华路三山街(公交站),32.025421,118.785309,公交站
,评事街(公交站),32.025337,118.778465,公交站
,中华路·三山街(公交站),32.025261,118.785263,公交站
,海德卫城(公交站),32.064011,118.735909,公交站
,中保村(公交站),32.058788,118.736313,公交站
,水西门大街大士茶亭(公交站),32.033619,118.753403,公交站
,戎军路南(公交站),32.103413,118.773514,公交站
,瑞金路西(公交站),32.032166,118.809166,公交站
,翠亭路(公交站),32.103222,118.771858,公交站
,水关桥东(公交站),32.099823,118.760788,公交站
,白下路·大中桥(公交站),32.027046,118.797829,公交站
,琵琶湖(公交站),32.054317,118.827744,公交站
,太平南路·夫子庙(公交站),32.025105,118.789627,公交站
,清溪路北(公交站),32.044250,118.822968,公交站
,白云亭西(公交站),32.078060,118.737968,公交站
,新河二村(公交站),32.067783,118.735283,公交站
,热河南路(公交站),32.085697,118.742180,公交站
,中保村南(公交站),32.055611,118.736275,公交站
,漓江路(公交站),32.052101,118.737282,公交站
,水关桥总站(公交站),32.099392,118.758560,公交站
,金燕路南(公交站),32.100815,118.761467,公交站
,水关桥(公交站),32.099377,118.758293,公交站
,纪念馆(公交站),32.036766,118.747803,公交站
,江东北路·清凉门大街(公交站),32.047695,118.739059,公交站
,康怡花园(公交站),32.038902,118.745552,公交站
,长白街(公交站),32.025299,118.793991,公交站
,明故宫东(公交站),32.039288,118.819702,公交站
,依维柯(公交站),32.091976,118.817574,公交站
,明故宫南(公交站),32.037754,118.818268,公交站
,板仓街·花园路(公交站),32.075500,118.828491,公交站
,五佰村路(公交站),32.105175,118.780983,公交站
,东井村(公交站),32.100361,118.805191,公交站
,仙鹤桥(公交站),32.024208,118.775826,公交站
,郑和南路(公交站),32.071095,118.734871,公交站
,茶亭东街(公交站),32.034706,118.749443,公交站
,五佰村路·中央北路(公交站),32.105469,118.782005,公交站
,省中西医结合医院(公交站),32.098633,118.809296,公交站
,清溪路(公交站),32.041710,118.822701,公交站
,金域中央总站(公交站),32.104851,118.772278,公交站
,建康路·大中桥(公交站),32.025787,118.798805,公交站
,建康路(公交站),32.024578,118.794220,公交站
,银城街(公交站),32.053741,118.735245,公交站
,湘江路(公交站),32.051056,118.736137,公交站
,纬一路(公交站),32.104843,118.770309,公交站
,解放南路(公交站),32.030396,118.810364,公交站
,夫子庙总站(公交站),32.023407,118.790184,公交站
,洋珠巷(公交站),32.023079,118.778984,公交站
,江东北路·东宝路(公交站),32.045113,118.738876,公交站
,热河路(公交站),32.088936,118.742447,公交站
,惠民路(公交站),32.085114,118.739555,公交站
,水关桥西(公交站),32.099674,118.755768,公交站
,建康路·夫子庙(公交站),32.023651,118.792313,公交站
,夫子庙(公交站),32.023659,118.792496,公交站
,静海寺纪念馆(公交站),32.091347,118.744453,公交站
,长虹路(公交站),32.024796,118.766914,公交站
,通济门(公交站),32.025654,118.801239,公交站
,机务段(公交站),32.097038,118.750038,公交站
,南湖(公交站),32.029099,118.754776,公交站
,瑞金路(公交站),32.031895,118.814568,公交站
,樱驼村(公交站),32.077736,118.830170,公交站
,唐山路总站(公交站),32.078930,118.735016,公交站
,和燕路·迈皋桥(公交站),32.101898,118.806702,公交站
,清凉门大街·管子桥(公交站),32.046558,118.736610,公交站
,蒋王庙(公交站),32.079140,118.829979,公交站
,来凤街(公交站),32.022827,118.770782,公交站
,御道街(公交站),32.033070,118.817055,公交站
,玉塘村(公交站),32.030746,118.750877,公交站
,江东北路·汉中门大街(公交站),32.042309,118.738678,公交站
,藤子村(公交站),32.095444,118.818146,公交站
,宁工新寓(公交站),32.057476,118.731964,公交站
,中山南路·新桥(公交站),32.021168,118.780884,公交站
,拓园(公交站),32.032459,118.747894,公交站
,江东门纪念馆(公交站),32.034855,118.745003,公交站
,裕华名居(公交站),32.039661,118.740372,公交站
,方家营路·水关桥(公交站),32.100510,118.753334,公交站
,五塘新村(公交站),32.108250,118.784187,公交站
,惠民桥(公交站),32.090267,118.740265,公交站
,福园(公交站),32.030411,118.749367,公交站
,樱铁村(公交站),32.087303,118.827141,公交站
,幕府新村(公交站),32.108257,118.773834,公交站
,南京博物院(公交站),32.038841,118.824951,公交站
,五塘村(公交站),32.108932,118.779007,公交站
,红山路·迈皋桥(公交站),32.102852,118.809113,公交站
,夫子庙·瞻园(公交站),32.019985,118.785484,公交站
,鼓楼河西服务中心(公交站),32.044857,118.735092,公交站
,金陵村(公交站),32.105965,118.762398,公交站
,南京大屠杀遇难同胞纪念馆(公交站),32.035847,118.741821,公交站
,南京西站(公交站),32.095497,118.744110,公交站
,瑞金路东(公交站),32.031651,118.818344,公交站
,沿河村(公交站),32.028988,118.750000,公交站
,中华路·瞻园路(公交站),32.019592,118.783669,公交站
,仙鹤街(公交站),32.020069,118.774765,公交站
,云锦路·水西门大街(公交站),32.033314,118.744194,公交站
,中山植物园(公交站),32.050781,118.832970,公交站
,大光路北(公交站),32.026085,118.809998,公交站
,中山门(公交站),32.038898,118.826073,公交站
,大光路(公交站),32.024845,118.807838,公交站
