地址,名称,维度,经度,类型
百润路天润城地铁3号线2号出口,鸿利广场,32.150477,118.734346,商场
板桥街道朝阳西苑18幢1层百货店,荣寿百货,31.918497,118.652570,商场
水城路与江山路交叉口西北100米,润泰花园社区商业广场,32.153049,118.747793,商场
宝塔路90号,华天商贸城(春东路),31.322807,118.876265,商场
大厂健民路400号旭东新城11-905,美兜购物商城,32.228260,118.741806,商场
宜春街与经五路交叉口西北50米,花园城,32.121839,118.834306,商场
通济街商业广场7号楼,五星电器(溧水卖场店),31.657491,119.028073,商场
长江路1号,金宁广场,32.340968,118.841777,商场
丁墙路66附近,明发商业广场A1-2号楼,31.978640,118.797193,商场
平坦路与银泉东路交叉口西150米,汤泉购物中心,32.094264,118.519941,商场
浦珠北路126号,澳林广场A区,32.112797,118.700574,商场
雄风路444号,名顺购物广场(梅山直营店),31.899712,118.633333,商场
汤铜路东100米,地秀商业广场,31.795338,118.552692,商场
兴宁路与新亭西路交叉口东南50米,城市生活广场,31.942053,118.840908,商场
大厂街道长冲步行街59号,嘉泰商厦,32.231356,118.763736,商场
雄州南路333号,南京悦斯荟购物中心,32.318678,118.821397,商场
横溪街道明阳街100号,小丹阳商业广场,31.627814,118.72346,商场
丁墙路6栋附近,明发商业广场B1-2,31.976140,118.795358,商场
新华路528号,金年华广场,32.231969,118.76447,商场
天元东路388号,城市之光购物广场,31.939705,118.879794,商场
菜鸟驿站(金牛湖社区六冶南路3号),八百商场,32.421237,118.935148,商场
纬二路与602县道交叉口南50米,星甸商业广场,32.027698,118.455050,商场
宝塔路128号,南京温州商贸城(高淳区国土局南),31.322989,118.877042,商场
龙池街道莉湖路38号,荣盛·莉湖生活广场,32.317485,118.842879,商场
沙洲街道友谊街36号,游坊城商业广场,31.966087,118.719633,商场
学海路1号,金鹰湖滨天地B区,32.100046,118.923391,商场
学海路西100米金鹰奥莱城,金鹰湖滨天地F馆,32.101565,118.926542,商场
聚福城润发路9号,时代购物广场(润发路),31.998143,118.879093,商场
葛关路688号,扬子宾馆-购物中心,32.239579,118.753170,商场
仙林学衡路1号(2号线学则路站),九霄商业广场,32.092656,118.917083,商场
谷里街道金牛商场对面,好上市购物中心(金谷南街),31.863424,118.689617,商场
沿江街道泰冯路59号,泰徕城,32.154254,118.718464,商场
仙林学海路1号金鹰奥,金鹰奥莱城E馆,32.101422,118.92714,商场
通贤街21号,百货大厦(通贤街),31.321468,118.868596,商场
新民路130号,鑫乐生活,32.222319,118.747073,商场
板门口与长江路交叉口北150米,泓源广场,32.342807,118.842147,商场
长江路1号,乐活地下商城,32.342314,118.842373,商场
长江路7号,金宁乐活城,32.341700,118.841936,商场
通贤街28号,时尚宏达购物广场,31.321903,118.868572,商场
南浦路95附近,舜建城,32.149316,118.740022,商场
双龙大道1539号21世纪太阳城购物中心B1,21世纪太阳城购物中心-楼梯,31.927434,118.825697,商场
学津路与杉湖西路交叉口东北50米,金鹰国际购物中心(学津路),32.099377,118.923072,商场
天元中路21世纪太阳城2楼,三福时尚(21世纪太阳城购物中心店),31.927162,118.822845,商场
天润城,悦购(天悦城店),32.151754,118.733700,商场
科学园兴苑路18号,融侨商业广场,31.935440,118.875673,商场
文枢东路1号,仙林美居生活广场,32.096444,118.910467,商场
永阳镇青年路与秦淮路交界处,顾家风情街,31.651198,119.046359,商场
莲池路95附近,天迈广场·油坊桥站,31.966566,118.720952,商场
友谊路198号,68生活广场,31.972069,118.714644,商场
