地址,名称,维度,经度,类型
亚东国际公寓-一期附近,亚东国际公寓-一期-接送点,32.004387,118.768835,小区
大全福巷11号附近,大四福巷小区西区-天明楼,32.021014,118.786830,小区
集庆路55-65号,集庆路小区,32.01783,118.777427,小区
长虹路与雨花西路交叉口西北150米,长虹路318号院,32.002315,118.768593,小区
秦虹路234号,南京市红十字会高虹苑小区衣物捐赠箱,32.013762,118.806999,小区
雨花西路206号,雨花西路206号小区,32.000753,118.768754,小区
长白街7-9号,金陵闸小区,32.020993,118.7944,小区
雨花西路128号,亚东国际公寓1期,32.004382,118.768332,小区
夫子庙步行街与贡院西街交叉口西50米,青云楼,32.021652,118.788816,小区
富华路,天华园,32.000471,118.810933,小区
雨花西路128号,亚东国际公寓南区,32.004466,118.768192,小区
雨花西路128号,亚东国际公寓,32.004466,118.768192,小区
大石坝街长白街7-9号,森林里,32.021362,118.793999,小区
长白街2-2号,丁官里,32.020940,118.795996,小区
秦虹路260号,高虹苑小区,32.013308,118.807879,小区
雨花望江矶路,望江矶路办公楼,31.990449,118.774448,小区
宁南区郁金香路22号(公交车站),君子兰花园,31.985262,118.792577,小区
长虹路294-296号附近,钱家村18号,32.003086,118.768029,小区
三山街瞻园路大全福巷,全福小区,32.021731,118.787031,小区
秦虹南路18号,康馨花园(秦虹南路),32.011684,118.80917,小区
秦虹街道秦虹路313号秦虹小区,乔虹苑小区,32.014649,118.807015,小区
大明路120号,明通家园,32.008108,118.810783,小区
雨花西路123-1号,先锋青年公寓,31.997188,118.769147,小区
秦状元里65号,秦状元里小区,32.021044,118.782527,小区
集庆路83-97号,殷高巷小区,32.018073,118.776053,小区
鸣羊街45号,胡家花园,32.016555,118.774052,小区
秦虹小区,康业里,32.014057,118.807822,小区
长虹路449号,长虹路449号小区,32.001832,118.767714,小区
金沙井1-5附近,秦状元里东片,32.021425,118.783566,小区
雨花西路210号-1,苏缆大厦,31.999981,118.767979,小区
长白街2号3栋,长白街-2号院,32.021074,118.797305,小区
花神大道9号,阅城国际花园2期,31.987815,118.777394,小区
水斋庵与集庆路交叉口东北100米,皇册家园三期南第南区,32.019083,118.777382,小区
长虹路294-298号,雨虹雅苑,32.00324,118.767501,小区
长白街2号,白鹭小区丁官营,32.021599,118.795624,小区
大明路118号(近怡馨花园),商茂新园,32.009086,118.810899,小区
玉兰路与郁金香路交叉口南150米,菊香苑,31.984586,118.78942,小区
秦虹路355号,南京市红十字会乔虹苑小区衣物捐赠箱,32.014495,118.807779,小区
丁官营27-28号,白鹭小区,32.021422,118.796625,小区
长虹路294-296号,雨花东路小区,32.003148,118.767389,小区
秦虹街道大光路街道龙蟠中路453号,蓝天华门国际花园,32.019724,118.80113,小区
同仁堂路与长虹路交叉口南150米,长虹路443号院,32.002212,118.767142,小区
雨花街道雨花西路128号,亚东国际公寓2期,32.006094,118.767265,小区
宁南新区玉兰路19号(花神美境小区旁),君悦湖滨花园,31.984298,118.79135,小区
红花街道大明路168号,明都雅苑,31.997728,118.811315,小区
观云路北150米,亚东国际公寓北区,32.006081,118.767254,小区
金沙井96号,侨宁公寓,32.021579,118.7822,小区
集庆路98-104号,一品丽庭,32.019008,118.776399,小区
健康路夫子庙农贸市场新姚家巷5号1,夫子庙贡院街小区,32.022484,118.793032,小区
集庆路123号永丰大厦15层,永丰国际公寓,32.018180,118.775090,小区
胭脂巷与船板巷交叉口西100米,皇册家园南区,32.019688,118.777488,小区
夫子庙贡院街44号,新姚家巷小区,32.022628,118.792524,小区
升州路3号,三山花园城,32.022114,118.783626,小区
自由生活馆(建康路芳芳小屋公寓),芳芳家公寓,32.022679,118.786789,小区
秦虹路,怡馨花园(秦虹路),32.010752,118.810888,小区
秦准区双塘路19号,皇册家园三期南第,32.02002,118.777739,小区
秦虹路441号,南京市红十字会怡馨花园小区衣物捐赠箱,32.011351,118.810683,小区
集庆路98号,胭脂巷,32.019503,118.776628,小区
皇册路附近,牛市泰禾院子,32.020832,118.779193,小区
龙蟠中路418号,清雅苑,32.021126,118.799575,小区
新姚家巷29号附近,生态家园,32.022881,118.792388,小区
秦虹街道秦虹南路10号,怡謦花园社区,32.011079,118.810952,小区
软件大道3号,郁金香花苑(盐业路),31.984583,118.79614,小区
集庆路118号,达来公寓,32.019175,118.775801,小区
紫荆花路与花神大道交叉口东南100米,嘉怡,31.988143,118.775162,小区
大明路富华路99号,富华新寓,32.001079,118.81274,小区
盐业路与软件大道交叉口北100米,雨花街道丁墙社区,31.985034,118.798209,小区
长虹路441,绿岛华庭(长虹路),32.002957,118.766304,小区
斜土路810号,雅堂小超郁金香花苑12栋社区门面房,31.984642,118.797190,小区
雨花南路15号,邓府山庄,31.994621,118.768724,小区
建康路97号,星光里,32.023223,118.787479,小区
皇册路与船板巷交叉口西南50米,皇册家园三期南第北区,32.020529,118.777621,小区
扇骨营路与水秀路交叉口东南150米,枫丹·白露水秀花园,32.019912,118.80292,小区
雨花南路36号,邓府苑,31.994616,118.768642,小区
双塘街道集庆路120号,金轮园,32.019195,118.775184,小区
长虹路441-104号附近,长城天赋葡园,32.003505,118.766106,小区
贡院街43号,桃叶渡小区,32.023197,118.793649,小区
皇册路胭脂巷14号,达来佳园,32.020297,118.776859,小区
秦虹路375号,凤虹苑小区,32.014229,118.809649,小区
,七里街20号院,32.021667,118.799631,小区
龙蟠中路460号,七里街二十号,32.021685,118.799638,小区
雨花西路212号,安德公寓(雨花西路),31.998838,118.766585,小区
长虹路288号(长虹路与宁芜铁路交汇处),观樾公寓,32.007102,118.766333,小区
